"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
6523,"00A","heliport","Total RF Heliport",40.070985,-74.933689,11,"NA","US","US-PA","Bensalem","no",,,"K00A","00A","https://www.penndot.pa.gov/TravelInPA/airports-pa/Pages/Total-RF-Heliport.aspx",,
3374,"KALN","medium_airport","St Louis Regional Airport",38.89030075069999,-90.0459976196,544,"NA","US","US-IL","Alton/St Louis","no","KALN","ALN","KALN","ALN",,"https://en.wikipedia.org/wiki/St._Louis_Regional_Airport","Civic Memorial Airport"
19540,"KCPS","small_airport","St Louis Downtown Airport",38.570701599100005,-90.1561965942,413,"NA","US","US-IL","Cahokia/St Louis","no","KCPS","CPS","KCPS","CPS",,"https://en.wikipedia.org/wiki/St._Louis_Downtown_Airport",
3631,"KLAS","large_airport","Harry Reid International Airport",36.083361,-115.151817,2181,"NA","US","US-NV","Las Vegas","yes","KLAS","LAS","KLAS","LAS","https://www.harryreidairport.com/","https://en.wikipedia.org/wiki/Harry_Reid_International_Airport","McCarran International Airport"
20679,"KO22","small_airport","Columbia Airport",38.030399322499996,-120.415000916,2118,"NA","US","US-CA","Columbia","no",,"COA","O22","O22","http://www.tuolumnecounty.ca.gov/index.aspx?NID=372","https://en.wikipedia.org/wiki/Columbia_Airport_(California)",
3744,"KOAK","large_airport","Oakland San Francisco Bay Airport",37.720085,-122.221184,9,"NA","US","US-CA","Oakland","yes","KOAK","OAK","KOAK","OAK","https://www.iflyoak.com/","https://en.wikipedia.org/wiki/Oakland_International_Airport","Metro Oakland International"
3853,"KRNO","large_airport","Reno Tahoe International Airport",39.4991,-119.767998,4415,"NA","US","US-NV","Reno","yes","KRNO","RNO","KRNO","RNO","https://www.renoairport.com/","https://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport",
3878,"KSFO","large_airport","San Francisco International Airport",37.619806,-122.374821,13,"NA","US","US-CA","San Francisco","yes","KSFO","SFO","KSFO","SFO","http://www.flysfo.com/","https://en.wikipedia.org/wiki/San_Francisco_International_Airport","QSF, QBA"
3905,"KSTL","large_airport","St. Louis Lambert International Airport",38.748697,-90.370003,618,"NA","US","US-MO","St Louis","yes","KSTL","STL","KSTL","STL","https://www.flystl.com/","https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport","Lambert St Louis"
3907,"KSUS","medium_airport","Spirit of St Louis Airport",38.662102,-90.652,463,"NA","US","US-MO","St Louis","no","KSUS","SUS","KSUS","SUS","http://spiritairport.com/spiritairport/index.jsp","https://en.wikipedia.org/wiki/Spirit_of_St._Louis_Airport",
333490,"MX-1142","small_airport","Santa Elena Airport",25.990056,-97.760083,59,"NA","MX","MX-TAM","Matamoros","no",,,,"STL",,,
6624,"01TA","closed","Thirty Thirty Matlock Office Center Helistop",32.694867,-97.115964,630,"NA","US","US-TX","Arlington","no",,,,,,,"01TA"
