"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
244082,3374,"KALN",8099,150,"ASP",1,0,"11",38.89519882,-90.05500031,538,113.3,,"29",38.88639832,-90.02880096,527,293.3,
244083,3374,"KALN",6500,100,"ASP",1,0,"17",38.89849853515625,-90.05249786376953,533,173.3,,"35",38.880699157714844,-90.04989624023438,544,353.3,
254773,19540,"KCPS",2799,75,"ASPH-F",0,0,"05",38.5723991394043,-90.16850280761719,410,47,,"23",38.577598571777344,-90.1613998413086,409,227,
242030,19540,"KCPS",5301,75,"CON",1,0,"12L",38.57379913,-90.15820313,411,122.3,,"30R",38.56819916,-90.14700317,407,302.3,
242029,19540,"KCPS",7002,150,"ASP",1,0,"12R",38.57400131,-90.1651001,413,122.2,,"30L",38.56380081,-90.14430237,408,302.2,
245934,3631,"KLAS",9770,150,"CON",1,0,"01L",36.07529831,-115.1699982,2176,25,587,"19R",36.09769821,-115.1579971,2083,205,
245933,3631,"KLAS",9769,150,"ASP",1,0,"01R",36.074167,-115.1675,2170,25,491,"19L",36.0985,-115.1535,2080,205,
245936,3631,"KLAS",14835,150,"ASP",1,0,"08L",36.076333,-115.171333,2155,90,2139,"26R",36.076333,-115.121,2044,270,
245935,3631,"KLAS",10526,150,"ASP",1,0,"08R",36.07360076904297,-115.16100311279297,2157,90,,"26L",36.073699951171875,-115.1259994506836,2048,270,
241360,20679,"KO22",2607,50,"TURF-G",0,0,"11",38.032823,-120.420164,2112,134,,"29",38.028228,-120.41453,2090,314,
241361,20679,"KO22",4673,75,"ASP",1,0,"17",38.036682,-120.411633,2132,190,605,"35",38.024199,-120.414308,2086,10,392
270895,20679,"KO22",100,100,"ASPH",0,0,"H1",,,,,,"H1",,,,,
270896,20679,"KO22",78,78,"ASPH",0,0,"H2",,,,,,"H2",,,,,
240401,3744,"KOAK",5457,150,"ASP",1,0,"10L",37.73049927,-122.2220001,6,112.2,,"28R",37.72480011,-122.2050018,6,292.2,
240400,3744,"KOAK",6213,150,"ASP",1,0,"10R",37.72869873046875,-122.22599792480469,8,112,,"28L",37.7223014831543,-122.20600128173828,8,292,
240402,3744,"KOAK",10520,150,"ASP",1,0,"12",37.71910095,-122.2409973,8,130,,"30",37.70149994,-122.2139969,9,310,
240403,3744,"KOAK",3376,75,"ASP",1,0,"15",37.740299224853516,-122.2229995727539,2,165,,"33",37.73139953613281,-122.22000122070312,4,345,
245056,3853,"KRNO",6102,150,"CON",1,0,"08",39.4963,-119.778999,4409,90,,"26",39.496201,-119.757004,4400,270,
245058,3853,"KRNO",9000,150,"CON",1,0,"17L",39.513802,-119.766998,4415,180,,"35R",39.489101,-119.766998,4408,360,
245057,3853,"KRNO",11001,150,"CON",1,0,"17R",39.513802,-119.768997,4415,180,999,"35L",39.483601,-119.768997,4410,360,
240772,3878,"KSFO",11870,200,"ASP",1,0,"10L",37.628742,-122.39341,5,118,,"28R",37.613538,-122.35716,13,298,300
240771,3878,"KSFO",11381,200,"ASP",1,0,"10R",37.626298,-122.393124,6,118,,"28L",37.61172,-122.358367,13,298,300
240770,3878,"KSFO",7650,200,"ASP",1,0,"1L",37.607898,-122.38295,10,28,645,"19R",37.626476,-122.37063,9,208,
240769,3878,"KSFO",8660,200,"ASP",1,0,"1R",37.606333,-122.381061,12,28,560,"19L",37.627346,-122.367124,10,208,
243530,3905,"KSTL",7603,150,"CON",1,0,"06",38.746684,-90.381218,551,63,,"24",38.756217,-90.357504,533,243,
243531,3905,"KSTL",9000,150,"CON",1,0,"11",38.759952,-90.409872,617,122,,"29",38.746792,-90.383163,555,302,
243533,3905,"KSTL",9013,150,"CON",1,0,"12L",38.751793,-90.366322,528,122,,"30R",38.738607,-90.339585,605,302,
243532,3905,"KSTL",11020,200,"CON",1,0,"12R",38.753904,-90.379159,540,122,470,"30L",38.737782,-90.346464,585,302,
244558,3907,"KSUS",5000,75,"ASP",1,0,"08L",38.664100646972656,-90.66829681396484,463,78,,"26R",38.66699981689453,-90.6511001586914,463,258,
244557,3907,"KSUS",7486,150,"CON",1,0,"08R",38.65769958,-90.65969849,461,78,,"26L",38.66189957,-90.63410187,462,258,
